Unnamed: 0,Gender,EthnicGroup,ParentEduc,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,WklyStudyHours,Average Score
186,1,4,2,1,married,0,1,Few,< 5,0.007
187,1,3,5,0,married,2,0,Moderate,5 - 10,0.0065333333333333
188,1,1,5,1,married,1,0,Moderate,< 5,0.0047666666666666
189,0,2,1,1,single,2,1,Few,< 5,0.0081666666666666
190,0,4,0,1,married,2,1,Few,5 - 10,0.0066666666666666
191,1,3,4,0,married,2,0,Few,< 5,0.0077
192,0,1,5,1,single,2,0,Moderate,,0.0064
193,1,3,4,0,married,1,1,Moderate,,0.0068
194,0,2,3,0,,1,1,Few,< 5,0.0080333333333333
195,1,3,0,1,married,1,0,Moderate,< 5,0.0055333333333333
196,1,2,6,0,married,0,1,Few,5 - 10,0.0062333333333333
197,1,4,2,1,married,3,0,Many,> 10,0.0054666666666666
198,0,1,4,1,widowed,1,1,Moderate,> 10,0.0052666666666666
199,0,1,1,2,married,1,1,Moderate,5 - 10,0.0079
200,0,2,0,0,single,1,0,Few,< 5,0.0078333333333333
201,0,3,4,1,divorced,2,1,Moderate,< 5,0.0072333333333333
202,1,2,0,1,married,2,1,Few,5 - 10,0.0071666666666666
203,0,5,0,1,,1,1,Few,5 - 10,0.0065666666666666
204,1,2,4,1,single,1,1,Few,< 5,0.0046666666666666
205,1,3,5,0,married,3,1,,< 5,0.0072
206,1,4,1,1,married,1,1,Moderate,5 - 10,0.0069666666666666
207,1,4,2,0,married,1,0,Few,5 - 10,0.0080333333333333
208,0,1,4,1,married,1,1,Few,< 5,0.0076333333333333
209,0,1,4,2,single,2,0,Few,,0.0061666666666666
210,1,3,5,0,widowed,2,1,Moderate,< 5,0.0077
211,1,2,4,2,married,2,1,Moderate,5 - 10,0.003
212,0,2,2,1,divorced,2,1,Few,5 - 10,0.0054666666666666
213,1,2,0,0,single,1,0,Few,5 - 10,0.0056333333333333
214,1,4,2,2,married,2,1,Few,5 - 10,0.0086333333333333
215,1,1,5,0,,1,0,Few,5 - 10,0.0082
216,0,4,0,0,married,2,1,Moderate,< 5,0.0083333333333333
217,0,2,2,2,married,1,0,Moderate,< 5,0.0037666666666666
218,1,1,2,1,married,2,0,Few,< 5,0.0069
219,1,1,5,0,single,0,0,Few,5 - 10,0.0056
220,0,3,2,0,widowed,1,1,Moderate,5 - 10,0.0067
221,1,1,0,1,married,2,1,,> 10,0.0083
222,0,2,5,2,divorced,2,0,Moderate,5 - 10,0.0060666666666666
223,1,3,5,1,married,1,0,Moderate,5 - 10,0.0081666666666666
224,0,1,0,0,divorced,1,2,Moderate,> 10,0.0066
225,0,4,3,1,married,2,0,,< 5,0.005
226,0,2,4,1,married,2,1,Moderate,5 - 10,0.0071666666666666
227,1,3,2,1,single,1,1,,5 - 10,0.0054333333333333
228,1,0,6,1,divorced,2,0,Moderate,5 - 10,0.0068
229,0,2,4,0,married,1,1,Moderate,> 10,0.0096
230,1,3,4,1,married,1,1,,5 - 10,0.0069666666666666
231,1,2,0,1,married,1,2,Few,5 - 10,0.0044333333333333
232,0,1,1,1,married,2,1,Few,5 - 10,0.0078666666666666
233,1,4,5,1,divorced,2,1,Moderate,> 10,0.0087
234,1,2,1,0,married,2,0,Moderate,> 10,0.0084333333333333
235,1,3,0,1,married,1,0,Few,> 10,0.0080333333333333
236,1,3,1,1,divorced,1,0,Few,< 5,0.0064666666666666
237,0,3,5,2,married,2,1,Moderate,< 5,0.0064333333333333
238,1,1,4,1,married,1,1,Few,> 10,0.0054333333333333
239,1,2,0,1,,2,1,Few,5 - 10,0.0081333333333333
240,1,3,2,0,divorced,3,1,Few,> 10,0.0070333333333333
241,0,4,1,1,single,1,0,Moderate,5 - 10,0.0083666666666666
243,1,4,4,2,single,1,0,Few,< 5,0.0050333333333333
244,1,3,5,1,divorced,1,1,Few,< 5,0.0072
245,1,2,0,1,married,2,0,Moderate,< 5,0.0075
246,1,4,0,2,married,1,0,Few,5 - 10,0.0081
247,0,1,2,0,single,2,1,Few,5 - 10,0.0065333333333333
248,0,1,2,1,married,2,1,Few,< 5,0.0062
249,1,5,2,1,married,2,0,Few,> 10,0.0061333333333333
250,1,0,5,0,single,2,1,Few,5 - 10,0.0048333333333333
251,0,3,4,1,married,1,2,Moderate,< 5,0.0078333333333333
252,0,1,5,0,single,2,1,Moderate,5 - 10,0.0066666666666666
253,1,3,3,1,married,2,0,Moderate,,0.0077333333333333
254,1,3,2,1,married,2,1,,5 - 10,0.0052666666666666
255,0,4,4,1,single,2,0,Few,5 - 10,0.0068333333333333
256,0,2,0,1,single,2,0,Moderate,< 5,0.0066333333333333
257,1,5,0,0,married,1,2,Few,5 - 10,0.0078666666666666
260,0,2,5,0,married,2,1,Few,> 10,0.0074333333333333
261,1,2,4,0,married,2,0,Few,5 - 10,0.0078666666666666
262,0,2,5,1,married,1,0,Few,5 - 10,0.0049
263,0,4,2,1,single,2,1,Few,5 - 10,0.0094
264,1,3,2,1,married,2,0,Few,5 - 10,0.0072333333333333
265,1,3,5,1,divorced,2,0,Few,< 5,0.0046
266,0,5,1,1,married,2,0,Few,< 5,0.0070999999999999
267,0,3,2,1,married,1,0,Moderate,5 - 10,0.0073999999999999
268,0,3,0,0,married,1,1,Moderate,> 10,0.0095333333333333
269,0,4,4,1,married,2,0,Few,,0.0072333333333333
270,1,2,1,1,married,2,1,Few,5 - 10,0.0064333333333333
271,1,2,4,2,single,1,1,Few,< 5,0.0049
272,0,3,0,1,single,1,1,Few,5 - 10,0.0053333333333333
273,0,3,4,1,married,2,0,Few,5 - 10,0.0068666666666666
274,1,1,4,0,widowed,3,1,Few,< 5,0.0080666666666666
275,1,2,1,1,married,2,0,Moderate,5 - 10,0.0078
276,0,2,5,0,married,2,1,Moderate,< 5,0.0087666666666666
277,0,4,6,0,single,2,0,Moderate,< 5,0.0064
278,0,2,5,1,married,2,1,Few,5 - 10,0.0077
279,1,1,1,1,widowed,2,0,Few,5 - 10,0.0062
281,1,3,2,1,divorced,2,0,,5 - 10,0.0046333333333333
282,0,3,1,1,divorced,1,0,Moderate,5 - 10,0.0080333333333333
283,0,3,4,0,,0,1,Few,5 - 10,0.0072999999999999
284,0,5,5,1,married,1,1,,< 5,0.0042333333333333
285,1,1,0,0,married,0,1,Moderate,5 - 10,0.0079
286,1,4,0,0,married,1,1,,5 - 10,0.0090666666666666
287,0,1,5,1,married,2,0,Few,< 5,0.0077
288,1,1,1,1,single,2,1,,< 5,0.0077333333333333
289,1,5,5,0,married,2,1,Few,> 10,0.0078
290,1,2,0,1,married,2,0,Few,5 - 10,0.0071333333333333
291,1,3,5,1,married,2,1,Few,< 5,0.0073999999999999
292,1,2,5,0,married,0,1,Few,5 - 10,0.0058333333333333
293,0,4,1,1,married,2,1,,> 10,0.0072
294,1,3,2,0,single,1,1,Moderate,5 - 10,0.008
295,1,1,0,1,married,0,1,Few,> 10,0.0062
296,1,5,5,0,widowed,1,0,Few,5 - 10,0.0043999999999999
297,1,5,0,0,single,1,0,Few,5 - 10,0.0072333333333333
298,1,2,6,0,single,1,0,Few,< 5,0.0044666666666666
299,1,3,0,1,married,1,0,Few,< 5,0.0083333333333333
300,1,0,4,0,married,0,1,Few,< 5,0.0076
301,1,3,5,2,divorced,1,0,Moderate,< 5,0.0053333333333333
302,0,2,0,0,single,0,1,Moderate,> 10,0.0076333333333333
303,1,1,0,1,married,1,1,Few,5 - 10,0.0074666666666666
304,0,2,0,0,married,1,1,Few,5 - 10,0.0079
305,1,0,4,1,,2,1,Many,5 - 10,0.0068333333333333
306,1,4,4,0,divorced,1,1,Moderate,5 - 10,0.0090333333333333
307,1,2,5,1,single,1,0,Few,5 - 10,0.0049666666666666
308,0,1,0,1,married,1,0,Moderate,> 10,0.0066333333333333
309,0,3,2,2,single,1,1,Moderate,< 5,0.0052
310,0,1,0,1,married,2,0,Few,5 - 10,0.0076333333333333
311,1,1,1,1,married,0,1,Moderate,< 5,0.0058
312,1,3,1,0,single,2,1,,,0.0065333333333333
313,0,2,0,0,single,2,1,Few,> 10,0.0069333333333333
315,1,2,2,1,married,1,0,Moderate,5 - 10,0.0068333333333333
316,0,3,3,0,widowed,0,1,Moderate,5 - 10,0.0080666666666666
317,1,2,0,1,single,2,0,Few,5 - 10,0.0077666666666666
318,1,1,1,1,married,2,1,,< 5,0.0065666666666666
319,0,3,0,1,single,1,0,Few,< 5,0.0060666666666666
320,0,2,2,2,divorced,2,1,Few,< 5,0.0074333333333333
321,0,4,2,1,married,0,0,Moderate,> 10,0.0079
322,0,2,4,1,married,1,1,Few,< 5,0.0076666666666666
323,0,2,5,1,married,2,1,Moderate,5 - 10,0.0047666666666666
324,0,2,2,1,divorced,2,0,Few,< 5,0.0042
325,0,2,4,1,single,2,1,Moderate,5 - 10,0.0088666666666666
326,1,2,4,1,married,2,1,Few,5 - 10,0.0061333333333333
327,1,0,4,1,married,1,1,Few,> 10,0.0023666666666666
328,1,2,0,0,married,2,1,Moderate,5 - 10,0.0078
329,0,1,5,1,married,2,1,Few,< 5,0.0047333333333333
330,1,2,2,1,single,1,1,,< 5,0.0063333333333333
331,1,2,0,1,,2,0,Moderate,< 5,0.0038333333333333
332,1,4,0,0,married,0,0,Moderate,> 10,0.0056
333,1,1,0,1,single,2,1,Few,5 - 10,0.0083
334,0,2,1,1,,2,1,Few,,0.0090333333333333
335,0,1,4,1,married,1,1,Few,5 - 10,0.0066
336,1,3,5,0,married,1,0,,5 - 10,0.0072999999999999
337,1,2,0,1,single,1,1,Few,5 - 10,0.0048333333333333
338,0,1,5,1,single,2,0,Moderate,< 5,0.0028666666666666
339,0,3,5,0,married,2,1,Moderate,5 - 10,0.005
340,1,2,2,1,married,1,1,Few,> 10,0.0059
341,0,2,6,1,married,1,1,,5 - 10,0.0066666666666666
342,0,1,6,0,single,2,1,Few,< 5,0.0070666666666666
343,1,3,0,0,single,2,1,Moderate,< 5,0.0066333333333333
344,1,3,4,1,,1,1,Few,< 5,0.0072333333333333
345,0,2,2,1,married,2,1,Moderate,5 - 10,0.0075666666666666
346,1,1,6,1,married,2,0,Few,5 - 10,0.006
347,0,2,1,0,married,1,1,,< 5,0.0087999999999999
349,1,4,0,1,divorced,1,1,Few,> 10,0.0082333333333333
350,0,1,1,1,married,2,1,,5 - 10,0.0062
351,1,4,4,1,married,3,0,Moderate,> 10,0.0059
352,0,2,4,0,married,2,0,Few,< 5,0.0071666666666666
353,0,2,0,1,married,1,0,Few,< 5,0.0053
354,0,2,4,1,married,0,1,Few,< 5,0.0063
355,0,1,1,1,single,1,0,Moderate,> 10,0.0070333333333333
356,1,0,6,1,married,2,0,Few,5 - 10,0.0061666666666666
357,0,2,4,0,married,2,1,Few,< 5,0.0057333333333333
359,0,3,4,1,divorced,2,0,Few,< 5,0.0084
360,0,1,2,1,married,0,1,Few,5 - 10,0.0058
361,1,1,5,0,single,1,1,Moderate,5 - 10,0.0083666666666666
362,0,2,4,1,single,1,0,Few,5 - 10,0.0056666666666666
363,0,3,5,1,single,2,0,Moderate,< 5,0.003
364,1,2,4,1,divorced,1,1,Few,5 - 10,0.0059666666666666
365,1,0,1,0,married,1,0,Few,> 10,0.0057333333333333
366,1,2,2,0,married,2,1,Few,5 - 10,0.006
367,1,2,1,1,married,1,2,Moderate,> 10,0.0064666666666666
368,0,0,5,1,single,2,1,Few,5 - 10,0.0055333333333333
369,0,3,5,1,single,1,1,Moderate,5 - 10,0.0079333333333333
370,1,4,4,1,married,1,1,Moderate,5 - 10,0.0078666666666666
371,0,2,4,0,single,2,0,Moderate,5 - 10,0.0062666666666666
372,1,3,5,1,single,2,1,,> 10,0.0074666666666666
373,0,3,4,0,married,2,1,Few,> 10,0.0093
374,0,3,1,1,married,2,1,,> 10,0.0068333333333333
376,0,3,5,1,single,2,0,Few,> 10,0.0085333333333333
377,0,3,3,0,single,2,1,,5 - 10,0.0093333333333333
378,0,0,5,1,single,2,0,Few,> 10,0.0078333333333333
379,1,0,1,1,married,1,1,Few,5 - 10,0.0064666666666666
380,0,1,0,1,single,2,1,Few,5 - 10,0.0083
381,1,2,0,0,divorced,2,1,,< 5,0.0091666666666666
382,1,2,3,1,married,2,0,Few,5 - 10,0.0078
383,0,4,5,1,divorced,1,1,Moderate,> 10,0.0045666666666666
384,0,0,5,1,divorced,0,0,Moderate,5 - 10,0.0038666666666666
385,0,4,4,1,divorced,1,1,Few,5 - 10,0.0073999999999999
386,0,4,1,1,single,2,1,,< 5,0.0067
387,0,2,6,1,widowed,1,1,Moderate,5 - 10,0.0068333333333333
388,0,3,2,1,single,2,1,Moderate,5 - 10,0.0063333333333333
389,1,3,3,1,married,2,0,Few,< 5,0.0072
390,1,4,5,0,single,1,1,,5 - 10,0.0067666666666666
391,0,3,4,1,single,2,0,Moderate,< 5,0.0071666666666666
392,1,4,4,1,married,2,1,Moderate,> 10,0.0071333333333333
393,1,2,0,0,divorced,1,1,Moderate,> 10,0.0057666666666666
394,0,2,5,0,single,2,0,,5 - 10,0.0072
396,0,1,2,1,married,0,0,Moderate,5 - 10,0.0058
398,1,1,5,1,single,1,1,,< 5,0.0064
399,1,3,5,1,single,0,0,Moderate,< 5,0.0054666666666666
400,0,2,5,0,married,1,1,Moderate,5 - 10,0.0060666666666666
401,1,0,4,2,married,2,0,Few,,0.0046333333333333
402,0,0,4,1,married,1,0,Few,> 10,0.0058
403,0,3,2,0,single,2,1,Moderate,5 - 10,0.0095666666666666
404,0,2,2,1,single,1,1,,5 - 10,0.0059
405,0,2,5,1,married,1,1,,< 5,0.0067333333333333
406,1,1,0,0,married,1,0,Moderate,> 10,0.0066333333333333
407,0,1,0,2,married,1,1,Moderate,5 - 10,0.0081
408,0,3,2,0,divorced,2,0,Few,5 - 10,0.0055
409,1,3,0,0,widowed,0,0,Moderate,> 10,0.0084333333333333
410,0,3,3,0,,1,1,Few,5 - 10,0.0074333333333333
411,1,5,4,0,widowed,1,1,Moderate,5 - 10,0.0083
412,1,3,0,1,married,2,1,Moderate,,0.0065666666666666
414,0,2,6,2,married,1,1,Moderate,5 - 10,0.0068333333333333
415,1,4,2,1,single,1,0,Moderate,5 - 10,0.0076666666666666
416,1,2,1,0,married,2,1,Moderate,< 5,0.0068666666666666
417,1,2,0,1,married,2,1,Moderate,< 5,0.0069
418,1,3,4,1,married,1,0,Moderate,5 - 10,0.0064
419,1,4,2,0,married,2,0,Moderate,5 - 10,0.0055666666666666
421,0,3,2,0,married,1,0,Few,< 5,0.0059
422,0,3,3,0,divorced,0,1,,> 10,0.0058
423,0,0,5,0,married,2,1,,< 5,0.0072666666666666
424,1,5,4,1,married,3,0,Few,5 - 10,0.0038
425,0,5,4,1,single,2,1,Moderate,< 5,0.0061666666666666
426,1,2,1,1,married,1,1,Few,5 - 10,0.0086666666666666
427,1,2,5,1,single,1,1,,5 - 10,0.0069666666666666
428,1,0,5,2,single,2,1,Few,,0.0059
429,1,2,5,1,married,2,0,Moderate,> 10,0.0062666666666666
430,1,5,0,1,married,2,2,Few,< 5,0.0061333333333333
431,0,2,2,1,single,2,1,Moderate,,0.0067666666666666
432,1,2,2,1,single,0,1,Moderate,< 5,0.0054333333333333
433,0,0,5,1,divorced,2,0,,< 5,0.0050666666666666
434,1,2,6,1,married,2,0,Few,> 10,0.0069333333333333
435,1,5,4,0,married,2,0,Many,5 - 10,0.0050333333333333
436,1,3,0,1,married,1,1,Moderate,5 - 10,0.0070333333333333
437,1,3,6,1,divorced,2,1,Few,5 - 10,0.0071333333333333
438,1,2,2,2,single,1,1,,< 5,0.0058333333333333
439,1,3,5,0,married,2,2,,5 - 10,0.0086333333333333
440,0,2,6,0,single,1,0,Few,5 - 10,0.0077
441,0,3,2,1,married,2,1,Few,,0.0079666666666666
442,0,0,5,1,married,2,1,Few,5 - 10,0.0067
443,0,5,0,1,,2,0,Few,< 5,0.0075
444,1,0,5,1,married,2,1,,5 - 10,0.0078
445,0,2,5,0,divorced,1,2,Moderate,5 - 10,0.0073999999999999
446,1,3,4,1,,1,1,Few,> 10,0.0067333333333333
447,1,2,2,0,single,1,1,Few,> 10,0.0085666666666666
448,1,1,2,1,widowed,1,1,Moderate,5 - 10,0.0045666666666666
449,1,1,0,1,single,1,1,,5 - 10,0.0076666666666666
450,0,2,4,0,divorced,2,1,Moderate,5 - 10,0.0078
451,0,4,4,1,married,2,2,Moderate,5 - 10,0.0096333333333333
452,0,2,0,1,married,1,0,Few,> 10,0.0074666666666666
453,1,2,4,1,married,0,1,Moderate,> 10,0.0056333333333333
