Unnamed: 0,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,WklyStudyHours,MathScore,ReadingScore,WritingScore
190,0,4,0,standard,1,married,2,1,Few,5 - 10,0.066,0.065,0.069
191,1,3,4,standard,0,married,2,0,Few,< 5,0.073,0.081,0.077
192,0,1,5,standard,1,single,2,0,Moderate,,0.062,0.064,0.066
193,1,3,4,standard,0,married,1,1,Moderate,,0.079,0.062,0.063
194,0,2,3,standard,0,,1,1,Few,< 5,0.069,0.085,0.087
195,1,3,0,standard,1,married,1,0,Moderate,< 5,0.06,0.054,0.052
196,1,2,6,free/reduced,0,married,0,1,Few,5 - 10,0.057,0.067,0.063
197,1,4,2,free/reduced,1,married,3,0,Many,> 10,0.056,0.056,0.052
198,0,1,4,free/reduced,1,widowed,1,1,Moderate,> 10,0.047,0.054,0.057
199,0,1,1,free/reduced,2,married,1,1,Moderate,5 - 10,0.08,0.08,0.077
200,0,2,0,standard,0,single,1,0,Few,< 5,0.066,0.083,0.086
201,0,3,4,free/reduced,1,divorced,2,1,Moderate,< 5,0.063,0.079,0.075
202,1,2,0,standard,1,married,2,1,Few,5 - 10,0.069,0.077,0.069
203,0,5,0,standard,1,,1,1,Few,5 - 10,0.058,0.07,0.069
204,1,2,4,standard,1,single,1,1,Few,< 5,0.058,0.04,0.042
205,1,3,5,standard,0,married,3,1,,< 5,0.071,0.069,0.076
206,1,4,1,standard,1,married,1,1,Moderate,5 - 10,0.084,0.062,0.063
207,1,4,2,standard,0,married,1,0,Few,5 - 10,0.083,0.081,0.077
208,0,1,4,free/reduced,1,married,1,1,Few,< 5,0.073,0.08,0.076
209,0,1,4,free/reduced,2,single,2,0,Few,,0.058,0.061,0.066
210,1,3,5,free/reduced,0,widowed,2,1,Moderate,< 5,0.077,0.077,0.077
211,1,2,4,free/reduced,2,married,2,1,Moderate,5 - 10,0.035,0.028,0.027
212,0,2,2,free/reduced,1,divorced,2,1,Few,5 - 10,0.042,0.062,0.06
213,1,2,0,free/reduced,0,single,1,0,Few,5 - 10,0.061,0.051,0.057
214,1,4,2,standard,2,married,2,1,Few,5 - 10,0.087,0.091,0.081
215,1,1,5,standard,0,,1,0,Few,5 - 10,0.086,0.084,0.076
216,0,4,0,free/reduced,0,married,2,1,Moderate,< 5,0.08,0.084,0.086
217,0,2,2,free/reduced,2,married,1,0,Moderate,< 5,0.033,0.041,0.039
218,1,1,2,free/reduced,1,married,2,0,Few,< 5,0.064,0.075,0.068
219,1,1,5,standard,0,single,0,0,Few,5 - 10,0.059,0.055,0.054
220,0,3,2,standard,0,widowed,1,1,Moderate,5 - 10,0.057,0.069,0.075
221,1,1,0,standard,1,married,2,1,,> 10,0.089,0.086,0.074
222,0,2,5,free/reduced,2,divorced,2,0,Moderate,5 - 10,0.055,0.065,0.062
223,1,3,5,standard,1,married,1,0,Moderate,5 - 10,0.088,0.081,0.076
224,0,1,0,standard,0,divorced,1,2,Moderate,> 10,0.055,0.067,0.076
225,0,4,3,free/reduced,1,married,2,0,,< 5,0.043,0.055,0.052
226,0,2,4,standard,1,married,2,1,Moderate,5 - 10,0.072,0.072,0.071
227,1,3,2,standard,1,single,1,1,,5 - 10,0.058,0.05,0.055
228,1,0,6,free/reduced,1,divorced,2,0,Moderate,5 - 10,0.068,0.072,0.064
229,0,2,4,standard,0,married,1,1,Moderate,> 10,0.093,0.097,0.098
230,1,3,4,standard,1,married,1,1,,5 - 10,0.078,0.064,0.067
231,1,2,0,standard,1,married,1,2,Few,5 - 10,0.047,0.043,0.043
232,0,1,1,standard,1,married,2,1,Few,5 - 10,0.067,0.086,0.083
233,1,4,5,standard,1,divorced,2,1,Moderate,> 10,0.094,0.088,0.079
234,1,2,1,standard,0,married,2,0,Moderate,> 10,0.085,0.083,0.085
235,1,3,0,standard,1,married,1,0,Few,> 10,0.084,0.077,0.08
236,1,3,1,free/reduced,1,divorced,1,0,Few,< 5,0.062,0.065,0.067
237,0,3,5,standard,2,married,2,1,Moderate,< 5,0.062,0.059,0.072
238,1,1,4,standard,1,married,1,1,Few,> 10,0.057,0.053,0.053
239,1,2,0,standard,1,,2,1,Few,5 - 10,0.084,0.08,0.08
240,1,3,2,free/reduced,0,divorced,3,1,Few,> 10,0.075,0.069,0.067
241,0,4,1,standard,1,single,1,0,Moderate,5 - 10,0.082,0.084,0.085
243,1,4,4,standard,2,single,1,0,Few,< 5,0.058,0.05,0.043
244,1,3,5,standard,1,divorced,1,1,Few,< 5,0.074,0.073,0.069
245,1,2,0,standard,1,married,2,0,Moderate,< 5,0.082,0.074,0.069
246,1,4,0,standard,2,married,1,0,Few,5 - 10,0.091,0.077,0.075
247,0,1,2,standard,0,single,2,1,Few,5 - 10,0.058,0.07,0.068
248,0,1,2,standard,1,married,2,1,Few,< 5,0.063,0.063,0.06
249,1,5,2,standard,1,married,2,0,Few,> 10,0.07,0.06,0.054
250,1,0,5,standard,0,single,2,1,Few,5 - 10,0.047,0.049,0.049
251,0,3,4,free/reduced,1,married,1,2,Moderate,< 5,0.07,0.082,0.083
252,0,1,5,standard,0,single,2,1,Moderate,5 - 10,0.06,0.07,0.07
253,1,3,3,standard,1,married,2,0,Moderate,,0.08,0.08,0.072
254,1,3,2,standard,1,married,2,1,,5 - 10,0.054,0.052,0.052
255,0,4,4,standard,1,single,2,0,Few,5 - 10,0.062,0.073,0.07
256,0,2,0,free/reduced,1,single,2,0,Moderate,< 5,0.062,0.071,0.066
257,1,5,0,standard,0,married,1,2,Few,5 - 10,0.08,0.078,0.078
260,0,2,5,free/reduced,0,married,2,1,Few,> 10,0.065,0.08,0.078
261,1,2,4,standard,0,married,2,0,Few,5 - 10,0.079,0.079,0.078
262,0,2,5,free/reduced,1,married,1,0,Few,5 - 10,0.045,0.05,0.052
263,0,4,2,standard,1,single,2,1,Few,5 - 10,0.099,0.093,0.09
264,1,3,2,standard,1,married,2,0,Few,5 - 10,0.076,0.073,0.068
265,1,3,5,free/reduced,1,divorced,2,0,Few,< 5,0.057,0.041,0.04
266,0,5,1,standard,1,married,2,0,Few,< 5,0.061,0.073,0.079
267,0,3,2,standard,1,married,1,0,Moderate,5 - 10,0.071,0.073,0.078
268,0,3,0,standard,0,married,1,1,Moderate,> 10,0.093,0.094,0.099
269,0,4,4,free/reduced,1,married,2,0,Few,,0.071,0.076,0.07
270,1,2,1,standard,1,married,2,1,Few,5 - 10,0.069,0.063,0.061
271,1,2,4,standard,2,single,1,1,Few,< 5,0.057,0.048,0.042
272,0,3,0,free/reduced,1,single,1,1,Few,5 - 10,0.048,0.053,0.059
273,0,3,4,standard,1,married,2,0,Few,5 - 10,0.065,0.07,0.071
274,1,1,4,standard,0,widowed,3,1,Few,< 5,0.085,0.083,0.074
275,1,2,1,standard,1,married,2,0,Moderate,5 - 10,0.083,0.078,0.073
276,0,2,5,standard,0,married,2,1,Moderate,< 5,0.082,0.09,0.091
277,0,4,6,standard,0,single,2,0,Moderate,< 5,0.057,0.062,0.073
278,0,2,5,free/reduced,1,married,2,1,Few,5 - 10,0.065,0.086,0.08
279,1,1,1,free/reduced,1,widowed,2,0,Few,5 - 10,0.073,0.056,0.057
281,1,3,2,standard,1,divorced,2,0,,5 - 10,0.045,0.048,0.046
282,0,3,1,free/reduced,1,divorced,1,0,Moderate,5 - 10,0.075,0.08,0.086
283,0,3,4,free/reduced,0,,0,1,Few,5 - 10,0.067,0.076,0.076
284,0,5,5,standard,1,married,1,1,,< 5,0.036,0.045,0.046
285,1,1,0,standard,0,married,0,1,Moderate,5 - 10,0.078,0.08,0.079
286,1,4,0,standard,0,married,1,1,,5 - 10,0.099,0.083,0.09
287,0,1,5,standard,1,married,2,0,Few,< 5,0.064,0.087,0.08
288,1,1,1,free/reduced,1,single,2,1,,< 5,0.085,0.073,0.074
289,1,5,5,standard,0,married,2,1,Few,> 10,0.079,0.077,0.078
290,1,2,0,standard,1,married,2,0,Few,5 - 10,0.076,0.07,0.068
291,1,3,5,standard,1,married,2,1,Few,< 5,0.083,0.071,0.068
292,1,2,5,standard,0,married,0,1,Few,5 - 10,0.061,0.059,0.055
293,0,4,1,standard,1,married,2,1,,> 10,0.066,0.074,0.076
294,1,3,2,free/reduced,0,single,1,1,Moderate,5 - 10,0.08,0.078,0.082
295,1,1,0,free/reduced,1,married,0,1,Few,> 10,0.066,0.061,0.059
296,1,5,5,standard,0,widowed,1,0,Few,5 - 10,0.047,0.041,0.044
297,1,5,0,standard,0,single,1,0,Few,5 - 10,0.073,0.075,0.069
298,1,2,6,free/reduced,0,single,1,0,Few,< 5,0.039,0.045,0.05
299,1,3,0,free/reduced,1,married,1,0,Few,< 5,0.089,0.086,0.075
300,1,0,4,free/reduced,0,married,0,1,Few,< 5,0.076,0.075,0.077
301,1,3,5,free/reduced,2,divorced,1,0,Moderate,< 5,0.055,0.053,0.052
302,0,2,0,standard,0,single,0,1,Moderate,> 10,0.066,0.083,0.08
303,1,1,0,standard,1,married,1,1,Few,5 - 10,0.082,0.077,0.065
304,0,2,0,standard,0,married,1,1,Few,5 - 10,0.076,0.076,0.085
305,1,0,4,standard,1,,2,1,Many,5 - 10,0.069,0.067,0.069
306,1,4,4,standard,0,divorced,1,1,Moderate,5 - 10,0.1,0.088,0.083
307,1,2,5,standard,1,single,1,0,Few,5 - 10,0.052,0.052,0.045
308,0,1,0,free/reduced,1,married,1,0,Moderate,> 10,0.056,0.073,0.07
309,0,3,2,free/reduced,2,single,1,1,Moderate,< 5,0.048,0.056,0.052
310,0,1,0,standard,1,married,2,0,Few,5 - 10,0.073,0.076,0.08
311,1,1,1,standard,1,married,0,1,Moderate,< 5,0.062,0.058,0.054
312,1,3,1,standard,0,single,2,1,,,0.067,0.061,0.068
313,0,2,0,free/reduced,0,single,2,1,Few,> 10,0.07,0.068,0.07
315,1,2,2,standard,1,married,1,0,Moderate,5 - 10,0.073,0.066,0.066
316,0,3,3,standard,0,widowed,0,1,Moderate,5 - 10,0.074,0.08,0.088
317,1,2,0,standard,1,single,2,0,Few,5 - 10,0.083,0.072,0.078
318,1,1,1,standard,1,married,2,1,,< 5,0.061,0.069,0.067
319,0,3,0,free/reduced,1,single,1,0,Few,< 5,0.055,0.064,0.063
320,0,2,2,free/reduced,2,divorced,2,1,Few,< 5,0.064,0.077,0.082
321,0,4,2,standard,1,married,0,0,Moderate,> 10,0.074,0.085,0.078
322,0,2,4,standard,1,married,1,1,Few,< 5,0.07,0.08,0.08
323,0,2,5,free/reduced,1,married,2,1,Moderate,5 - 10,0.04,0.052,0.051
324,0,2,2,free/reduced,1,divorced,2,0,Few,< 5,0.039,0.045,0.042
325,0,2,4,standard,1,single,2,1,Moderate,5 - 10,0.082,0.09,0.094
326,1,2,4,standard,1,married,2,1,Few,5 - 10,0.061,0.061,0.062
327,1,0,4,free/reduced,1,married,1,1,Few,> 10,0.029,0.023,0.019
328,1,2,0,standard,0,married,2,1,Moderate,5 - 10,0.082,0.075,0.077
329,0,1,5,standard,1,married,2,1,Few,< 5,0.039,0.054,0.049
330,1,2,2,standard,1,single,1,1,,< 5,0.07,0.059,0.061
331,1,2,0,standard,1,,2,0,Moderate,< 5,0.045,0.036,0.034
332,1,4,0,standard,0,married,0,0,Moderate,> 10,0.061,0.055,0.052
333,1,1,0,standard,1,single,2,1,Few,5 - 10,0.09,0.078,0.081
334,0,2,1,standard,1,,2,1,Few,,0.083,0.093,0.095
335,0,1,4,free/reduced,1,married,1,1,Few,5 - 10,0.062,0.069,0.067
336,1,3,5,standard,0,married,1,0,,5 - 10,0.078,0.071,0.07
337,1,2,0,standard,1,single,1,1,Few,5 - 10,0.05,0.051,0.044
338,0,1,5,free/reduced,1,single,2,0,Moderate,< 5,0.023,0.037,0.026
339,0,3,5,free/reduced,0,married,2,1,Moderate,5 - 10,0.035,0.055,0.06
340,1,2,2,free/reduced,1,married,1,1,Few,> 10,0.061,0.062,0.054
341,0,2,6,standard,1,married,1,1,,5 - 10,0.062,0.074,0.064
342,0,1,6,standard,0,single,2,1,Few,< 5,0.066,0.074,0.072
343,1,3,0,standard,0,single,2,1,Moderate,< 5,0.064,0.07,0.065
344,1,3,4,standard,1,,1,1,Few,< 5,0.078,0.072,0.067
345,0,2,2,standard,1,married,2,1,Moderate,5 - 10,0.072,0.08,0.075
346,1,1,6,standard,1,married,2,0,Few,5 - 10,0.062,0.061,0.057
347,0,2,1,standard,0,married,1,1,,< 5,0.076,0.093,0.095
349,1,4,0,standard,1,divorced,1,1,Few,> 10,0.092,0.076,0.079
350,0,1,1,standard,1,married,2,1,,5 - 10,0.052,0.065,0.069
351,1,4,4,standard,1,married,3,0,Moderate,> 10,0.067,0.057,0.053
352,0,2,4,standard,0,married,2,0,Few,< 5,0.061,0.076,0.078
353,0,2,0,standard,1,married,1,0,Few,< 5,0.045,0.057,0.057
354,0,2,4,standard,1,married,0,1,Few,< 5,0.055,0.068,0.066
355,0,1,1,standard,1,single,1,0,Moderate,> 10,0.064,0.074,0.073
356,1,0,6,standard,1,married,2,0,Few,5 - 10,0.063,0.061,0.061
357,0,2,4,free/reduced,0,married,2,1,Few,< 5,0.04,0.065,0.067
359,0,3,4,standard,1,divorced,2,0,Few,< 5,0.077,0.088,0.087
360,0,1,2,standard,1,married,0,1,Few,5 - 10,0.056,0.061,0.057
